listing_id,date,num_reviews,reviewers
1808465,2024-11-01,2,"55788137,46033486"
1808465,2025-01-01,3,"155239340,171379037,402044815"
1808465,2025-08-01,1,29030731
1808465,2025-04-01,3,"10279568,402044815,62777730"
41370885,2025-10-01,1,46104461
41370885,2025-06-01,2,"408537419,413944119"
41370885,2025-04-01,1,685825136
41370885,2025-03-01,1,42666507
41370885,2025-01-01,2,"316046643,316046643"
41370885,2024-11-01,1,78829717
38683166,2025-08-01,1,79648657
38683166,2025-07-01,2,"61255648,276158134"
38683166,2025-02-01,1,38436347
38683166,2025-01-01,2,"7648716,108651129"
38683166,2024-12-01,2,"24191249,123153873"
38683166,2024-11-01,1,32282501
35967943,2025-08-01,1,384719483
35967943,2025-06-01,1,10588881
35967943,2025-05-01,1,34849048
35967943,2025-02-01,1,125044715
35967943,2024-11-01,1,369378642
35566505,2024-11-01,1,3873741
39775530,2025-04-01,1,284973807
39775530,2025-05-01,1,17169057
39383042,2025-08-01,1,6823069
39383042,2025-06-01,1,324496634
39383042,2025-02-01,1,32818298
39383042,2024-11-01,1,5870520
40938632,2025-07-01,2,"364827173,429632223"
40938632,2025-06-01,2,"93458176,7723080"
40938632,2025-05-01,3,"355697830,685905563,15587322"
33036710,2025-09-01,1,256635483
33036710,2025-07-01,1,184467615
33036710,2025-04-01,1,40732767
33036710,2025-01-01,1,485653848
33036710,2024-11-01,1,142953287
13176448,2025-04-01,2,"380583737,337479567"
13176448,2025-03-01,3,"69926604,52462528,683943660"
13176448,2024-12-01,1,87857128
13176448,2024-11-01,5,"346463424,388510067,580028487,408637570,570078051"
33027289,2024-12-01,1,170192026
33027289,2024-11-01,2,"223032724,223032724"
33036168,2025-05-01,1,50641006
33036168,2025-04-01,1,220603131
33036168,2025-01-01,1,42666507
4106780,2024-11-01,1,5672363
25314573,2025-09-01,2,"14709133,199907787"
25314573,2025-07-01,1,702166697
25314573,2025-06-01,1,444275756
25314573,2024-11-01,1,26445704
25314573,2024-12-01,1,430539105
25314573,2025-01-01,1,299313526
28111152,2025-07-01,1,216096394
28111152,2025-06-01,2,"88250724,421844251"
28111152,2025-05-01,1,696177795
28111152,2025-04-01,3,"67286762,65343122,434791307"
28111152,2025-03-01,1,669920339
20066038,2025-01-01,1,311070749
20066038,2025-05-01,1,36255846
34696342,2025-08-01,1,705393180
34696342,2024-12-01,1,428095290
32379251,2025-10-01,1,48842292
32379251,2025-08-01,2,"22686516,15206910"
32379251,2025-07-01,2,"40626192,451197722"
32379251,2024-11-01,1,4494749
32379251,2025-04-01,1,109844806
9494739,2025-09-01,2,"11587640,719267445"
9494739,2025-07-01,2,"166579353,518500226"
9494739,2025-05-01,1,26061097
9494739,2025-03-01,2,"527643232,330780056"
9494739,2025-01-01,1,527746863
9494739,2024-11-01,1,160363720
9494739,2025-10-01,1,229312496
9494739,2025-04-01,1,664035309
9494739,2025-02-01,1,671896660
23573474,2025-09-01,1,463450733
23573474,2025-07-01,2,"10444636,10444636"
23573474,2025-06-01,1,694752668
23573474,2025-04-01,1,209893531
